row_id,text,like_count,date
156,@Marc_Kenyon @Jim_Jordan Biden?? Having classified documents he never was supposed to have?  If you approve of this FBI tactic you are my enemy.,0,2024-06-12
157,"Last time I checked, MAGA isn't chanting ""from the river to the sea"". https://t.co/VVurXITyOQ",21,2024-06-12
158,@POTUS PEDOPHILE JOE BIDEN,0,2024-06-12
159,"@tedcruz DID YOU TALK ABOUT YOUR WIFE  WITH HIM.  OH I FORGOT THAT YOU ARE SPINELESS AND YOU HAVE NO SHAME OR MORALS.  IF YOU WONT STICK UP FOR YOUR WIFE THEN YOU WONT STICK UP FOR AMERICAN PEOPLE.  
GOP IS THE PARTY OF LAWLESSNESS AND DISORDER",0,2024-06-13
160,"@DougWahl1 Looking for maga points,  has she seen those people lately 🤔",0,2024-06-12
161,"@RandPaul Have you endorsed Trump yet? Look Rand, if we get the Senate it means little because the GOP is not controllable. Endorse Trump and then come talk to me.",0,2024-06-12
162,"@SecBlinken A ceasefire now is certainly not in the best interest of the Israelis, not when another terrorist organization controls Gaza, Hamas survives, and Iran armed a nuclear bomb. US guarantees under Biden based on the hope jihadists change their values are worthless.",0,2024-06-12
163,"You are the most HYPOCRITICAL BYTCHES THIS COUNTRY HAS EVER SEEN. Things ""Don't"" go your way for a CONVICTED FELON &amp; RAPIST RACIST TRAITOR you people start BYTCHIN instead of standing for what's right. 
With all of this CRAZINESS you really think you are going to win?  @GOP",0,2024-06-12
164,"Why isn't Canadian media investigating Canada's Conservative Party leader Pierre Poilievre and his wife Anaida to dig up whatever dirt they're hiding?

It's so serious, Poilievre is scared of—and refuses—a background check for a security clearance.
A national security risk if PM.",1,2024-06-12
165,@JenC222 We’ve learned…    what  the  maga  and  trump  spew  means  they  are  guilty!,0,2024-06-12
166,"@BidenHQ Are you actually saying Biden is coherent? I just love good comedy, lol",0,2024-06-12
167,"@RepRaskin Perhaps impeachable offenses do in fact lurk in the background noise of audiotapes - the question is why are you guys working so hard to hide them from the American public (not just ""the GOP"").",6,2024-06-12
168,@TrumpDailyPosts @DonaldJTrumpJr That's the tick tock y'all wanted to BAN... just so we're crystal... not that kinda crystal Jr,0,2024-06-12
169,@Fernand46357857 I am sick of the same thing about Biden.,0,2024-06-12
170,@BasedMikeLee Of course not and none of your lies about the FBI or Biden's DOJ are going to work and destroy either institution. You seem to serve our enemies more than us Americans .,0,2024-06-12
171,@JesseBWatters Just hurry up already and get sued for your lies so you can copy Tucker’s career (because you obviously want to) leave Fox and then fade into irrelevancy like most MAGA morons. https://t.co/80E97EmYb5,0,2024-06-12
172,"@simonateba Smoke and mirrors.  Biden isn't going to be on the ticket. Neither is Harris.  Booting her will be fun to watch. How will they square that one? First woman VP. First black woman VP.  Mark my words, they've painted themselves in a corner...🤣🤣",0,2024-06-12
173,@husker_mar67456 @HalieSoifer No do Biden and show the clip where he uses the N word.,0,2024-06-12
174,"@SecretaryPete Trump did that, not Biden. Stop lying Petey.",0,2024-06-12
175,"Thanks to O’Biden’s Bidenomics ‼️
🇺🇸🇺🇸TRUMP2024🇺🇸🇺🇸",0,2024-06-12
176,@ProudElephantUS You mean Hunter Biden?? 😎,0,2024-06-12
177,"@misguidedangel9 @MayoIsSpicyy Would you leave Biden alone with your child. If so, you're a sick individual",0,2024-06-12
178,@lachevron @TheGoodLiars It is because they fall right over the edge and can't come back. Every MAGA knows that.,10,2024-06-12
179,@LegalWeed4SC I'd rather vote for Biden/Harris.,1,2024-06-12
180,President Joe Biden faces first lawsuit over new asylum crackdown at the border https://t.co/6uKzXWAde3,0,2024-06-12
181,Nikki Haley is an EVIL WOMAN.,1,2024-06-12
